"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,6804,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6808,"v_add_co_u32 v2, vcc_lo, v2, 28",514,514,0,64821,""
2,6816,"v_add_co_ci_u32_e64 v3, null, 0, v3, vcc_lo",514,514,0,122613,""
2,6824,"s_clause 0x1",65792,1992521,1926729,0,""
2,6828,"global_load_b128 v[5:8], v[2:3], off offset:-12",65792,137643,6059,20844,""
2,6836,"global_load_b128 v[9:12], v[2:3], off offset:-28",65792,131584,0,169,""
2,6844,"v_add_nc_u32_e32 v13, s2, v0",65792,65792,0,1874446,""
2,6848,"s_addk_i32 s2, 0x2000",65792,65792,0,409382,""
2,6852,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6856,"s_cmp_eq_u32 s2, 0x100000",65792,66027,235,65792,""
2,6864,"v_ashrrev_i32_e32 v14, 31, v13",65792,930937,865145,0,""
2,6868,"v_add_nc_u32_e32 v15, 0x400, v13",65792,250785,184993,0,""
2,6876,"v_add_nc_u32_e32 v17, 0x800, v13",65792,262309,196517,0,""
2,6884,"v_add_nc_u32_e32 v19, 0xc00, v13",65792,259433,193641,0,""
2,6892,"v_add_nc_u32_e32 v21, 0x1000, v13",65792,253962,188170,0,""
2,6900,"v_add_nc_u32_e32 v23, 0x1400, v13",65792,267784,201992,15,""
2,6908,"v_add_nc_u32_e32 v25, 0x1800, v13",65792,268527,202735,171,""
2,6916,"v_add_nc_u32_e32 v27, 0x1c00, v13",65792,265275,199483,31,""
2,6924,"v_lshlrev_b64 v[13:14], 2, v[13:14]",65792,309821,178237,11276,""
2,6932,"v_ashrrev_i32_e32 v16, 31, v15",65792,432451,366659,0,""
2,6936,"v_ashrrev_i32_e32 v18, 31, v17",65792,246266,180474,0,""
2,6940,"v_ashrrev_i32_e32 v20, 31, v19",65792,264449,198657,0,""
2,6944,"v_ashrrev_i32_e32 v22, 31, v21",65792,251475,185683,0,""
2,6948,"v_ashrrev_i32_e32 v24, 31, v23",65792,266047,200255,0,""
2,6952,"v_add_co_u32 v13, vcc_lo, s6, v13",65792,261267,195475,0,""
2,6960,"v_lshlrev_b64 v[15:16], 2, v[15:16]",65792,314475,182891,10573,""
2,6968,"v_add_co_ci_u32_e64 v14, null, s7, v14, vcc_lo",65792,435939,370147,1,""
2,6976,"v_lshlrev_b64 v[17:18], 2, v[17:18]",65792,313227,181643,2367,""
